id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
320772,IE-0012,small_airport,Ballinvally Farm Airstrip,52.5709,-6.31754,200,EU,Ireland,IE,County Westmeath,IE-WH,WH,Court,0,,,,,,,50,2021-04-27T17:40:41+00:00
321483,IE-0034,small_airport,Ballyvalloo Airstrip,52.414439,-6.363058,,EU,Ireland,IE,County Wexford,IE-WX,WX,Enniscorthy,0,,,,,,,50,2021-04-27T17:42:01+00:00
317046,IE-0005,small_airport,Eyne Airfield,53.082764,-7.277601,265,EU,Ireland,IE,County Laois,IE-LS,LS,Eyne,0,,,,,,Ridge Aviation,50,2016-02-20T14:26:40+00:00
30992,EIBA,small_airport,Ballyboughal Aerodrome,53.5055556,-6.2377778,180,EU,Ireland,IE,County Dublin,IE-D,D,Fingal,0,EIBB,,,http://www.eibb.ie,,,50,2016-12-23T04:47:16+00:00
322072,IE-0048,small_airport,Camus Airstrip,53.171468,-8.113414,,EU,Ireland,IE,County Galway,IE-G,G,Friarsland,0,,,,,,,50,2021-04-27T17:16:32+00:00
321344,IE-0028,small_airport,Ballyboe Airstrip,52.383923,-7.618068,,EU,Ireland,IE,County Tipperary,IE-TA,TA,Gammonsfield,0,,,,,,,50,2021-04-27T17:45:46+00:00
321685,IE-0041,small_airport,Warrens Airstrip,52.640212,-6.298816,,EU,Ireland,IE,County Wexford,IE-WX,WX,Gorey,0,,,,,,,50,2021-04-27T17:40:13+00:00
342612,IE-0065,small_airport,Tobertaskin Airstrip,53.60988,-6.26595,,EU,Ireland,IE,County Dublin,IE-D,D,Grangemount,0,,,,,,,50,2021-04-02T06:59:52+00:00
333395,IE-0063,small_airport,Lickfinn Airstrip,52.591353,-7.643436,,EU,Ireland,IE,County Tipperary,IE-TA,TA,Killenaule,0,,,,,,,50,2020-09-12T04:28:05+00:00
320593,IE-0011,small_airport,Limetree Airfield,53.1155,-7.2443,210,EU,Ireland,IE,County Laois,IE-LS,LS,Limetree,0,,,,,,,50,2016-10-01T00:44:39+00:00
321832,IE-0044,small_airport,Ballyvarry Airstrip,53.892707,-9.122479,,EU,Ireland,IE,County Mayo,IE-MO,MO,Loughkeeran,0,,,,,,,50,2021-04-27T17:06:39+00:00
321596,IE-0038,small_airport,O'Loughlin Airstrip,53.17023,-7.019048,260,EU,Ireland,IE,County Kildare,IE-KE,KE,Monasterevin,0,,,,,,,50,2021-04-27T17:33:42+00:00
333220,IE-0060,small_airport,Dunslaughlin Airstrip,53.5192,-6.6001,,EU,Ireland,IE,County Meath,IE-MH,MH,Moorestown,0,,,,,,,50,2020-02-09T08:20:00+00:00
321320,IE-0025,small_airport,The Forge Airstrip,52.81052,-8.13732,,EU,Ireland,IE,County Tipperary,IE-TA,TA,Nenagh,0,,,,,,,50,2021-04-27T17:14:01+00:00
321343,IE-0027,small_airport,Allenwood Airstrip,53.267785,-6.839772,,EU,Ireland,IE,County Kildare,IE-KE,KE,Robertstown,0,,,,,,,50,2021-04-27T17:23:31+00:00
321723,IE-0042,small_airport,Laytown Airstrip,53.690727,-6.272178,,EU,Ireland,IE,County Meath,IE-MH,MH,Sevitsland,0,,,,,,,50,2021-04-27T17:29:21+00:00
321611,IE-0040,small_airport,Dorans Airstrip,53.51968,-7.67858,,EU,Ireland,IE,County Westmeath,IE-WH,WH,Shinglis,0,,,,,,,50,2021-04-27T17:50:24+00:00
